"region"	"type of building"	"period of construction"	"year"	Number of dwellings
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2014"	2549
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2015"	2630
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2016"	2609
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2017"	2552
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2018"	2569
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2019"	2593
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2020"	2605
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1971-1980"	"2021"	2623
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2013"	489
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2014"	490
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2015"	533
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2016"	592
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2017"	589
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2018"	598
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2019"	552
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2020"	552
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1981-1990"	"2021"	551
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2013"	469
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2014"	423
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2015"	461
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2016"	511
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2017"	511
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2018"	548
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2019"	535
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2020"	535
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"1991-2000"	"2021"	554
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2013"	1229
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2014"	1189
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2015"	1191
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2016"	1226
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2017"	1206
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2018"	1252
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2019"	1343
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2020"	1369
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2001-2010"	"2021"	1369
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2013"	107
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2014"	375
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2015"	452
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2016"	572
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2017"	892
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2018"	1078
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2019"	1344
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2020"	1595
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2011-2020"	"2021"	2405
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2013"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2014"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2015"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2016"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2017"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2018"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2019"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2020"	0
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"2021-"	"2021"	1
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2013"	2424
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2014"	1902
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2015"	1761
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2016"	1909
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2017"	1526
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2018"	1370
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2019"	1501
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2020"	1517
"SKL01 metropolitan municipalities (3 municipalities)"	"other buildings"	"data missing"	"2021"	1408
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2013"	32543
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2014"	32631
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2015"	32652
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2016"	33306
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2017"	33293
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2018"	33336
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2019"	33299
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2020"	33437
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2021"	33446
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2013"	15749
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2014"	15847
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2015"	15828
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2016"	15757
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2017"	15751
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2018"	15768
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2019"	15729
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2020"	15721
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2021"	15713
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2013"	17480
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2014"	17533
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2015"	17510
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2016"	17372
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2017"	17394
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2018"	17320
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2019"	17335
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2020"	17331
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2021"	17316
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2013"	21421
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2014"	21506
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2015"	21557
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2016"	21472
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2017"	21442
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2018"	21569
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2019"	21572
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2020"	21613
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2021"	21662
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2013"	54949
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2014"	55057
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2015"	55108
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2016"	55150
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2017"	55066
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2018"	55027
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2019"	55093
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2020"	55155
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2021"	55193
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2013"	72900
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2014"	73021
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2015"	73025
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2016"	73054
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2017"	73003
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2018"	73101
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2019"	73103
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2020"	73206
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2021"	73171
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2013"	42222
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2014"	42266
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2015"	42345
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2016"	42302
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2017"	42417
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2018"	42517
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2019"	42554
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2020"	42596
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2021"	42636
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2013"	27503
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2014"	27945
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2015"	27987
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2016"	28082
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2017"	28094
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2018"	28319
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2019"	28268
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2020"	28360
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2021"	28314
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2013"	30176
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2014"	30323
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2015"	30344
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2016"	31816
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2017"	31789
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2018"	31840
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2019"	31864
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2020"	31961
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2021"	31885
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2013"	4093
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2014"	5320
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2015"	7444
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2016"	11955
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2017"	14998
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2018"	17374
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2019"	19144
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2020"	21827
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2021"	22532
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2013"	0
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2014"	0
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2015"	0
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2016"	0
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2017"	0
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2018"	0
"SKL02 suburban municipalities (38 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2019"	0
